Rg2#,Rook,g2,Black,Not Capture,Not Promotion
Bxg4#,Bishop,g4,Black,Capture,Not Promotion
Qg7#,Queen,g7,White,Not Capture,Not Promotion
Qxh6#,Queen,h6,White,Capture,Not Promotion
Bg3#,Bishop,g3,Black,Not Capture,Not Promotion
Qg1#,Queen,g1,Black,Not Capture,Not Promotion
Rb8#,Rook,b8,White,Not Capture,Not Promotion
Qg5#,Queen,g5,White,Not Capture,Not Promotion
Qh1#,Queen,h1,Black,Not Capture,Not Promotion
Qh4#,Queen,h4,Black,Not Capture,Not Promotion
Qe6#,Queen,e6,Black,Not Capture,Not Promotion
Ra1#,Rook,a1,White,Not Capture,Not Promotion
Qf2#,Queen,f2,Black,Not Capture,Not Promotion
Qfh2#,Queen,h2,Black,Not Capture,Not Promotion
Qb3#,Queen,b3,Black,Not Capture,Not Promotion
Qh6#,Queen,h6,Black,Not Capture,Not Promotion
Qg7#,Queen,g7,Black,Not Capture,Not Promotion
Rd1#,Rook,d1,Black,Not Capture,Not Promotion
Rxa7#,Rook,a7,White,Capture,Not Promotion
Qdh4#,Queen,h4,White,Not Capture,Not Promotion
Ng3#,Knight,g3,Black,Not Capture,Not Promotion
Qxh7#,Queen,h7,White,Capture,Not Promotion
c1=Q#,Pawn,c1,Black,Not Capture,Promotion
Qc2#,Queen,c2,Black,Not Capture,Not Promotion
Qgf6#,Queen,f6,White,Not Capture,Not Promotion
Bb3#,Bishop,b3,Black,Not Capture,Not Promotion
Qb2#,Queen,b2,Black,Not Capture,Not Promotion
Q4g6#,Queen,g6,White,Not Capture,Not Promotion
Qe5#,Queen,e5,Black,Not Capture,Not Promotion
Qb5#,Queen,b5,White,Not Capture,Not Promotion
Qa2#,Queen,a2,Black,Not Capture,Not Promotion
Rc5#,Rook,c5,White,Not Capture,Not Promotion
Rxh6#,Rook,h6,White,Capture,Not Promotion
Qe8#,Queen,e8,White,Not Capture,Not Promotion
Qa2#,Queen,a2,White,Not Capture,Not Promotion
Qb2#,Queen,b2,Black,Not Capture,Not Promotion
Rh3#,Rook,h3,White,Not Capture,Not Promotion
Rc7#,Rook,c7,White,Not Capture,Not Promotion
Nc7#,Knight,c7,White,Not Capture,Not Promotion
Qg4#,Queen,g4,Black,Not Capture,Not Promotion
Rb4#,Rook,b4,Black,Not Capture,Not Promotion
Qg7#,Queen,g7,White,Not Capture,Not Promotion
Rxd6#,Rook,d6,White,Capture,Not Promotion
Qh1#,Queen,h1,Black,Not Capture,Not Promotion
Ra6#,Rook,a6,White,Not Capture,Not Promotion
Rh1#,Rook,h1,Black,Not Capture,Not Promotion
Qxa3#,Queen,a3,Black,Capture,Not Promotion
Qd8#,Queen,d8,Black,Not Capture,Not Promotion
Rf5#,Rook,f5,White,Not Capture,Not Promotion
c8=Q#,Pawn,c8,White,Not Capture,Promotion
Qh2#,Queen,h2,White,Not Capture,Not Promotion
g5#,Pawn,g5,White,Not Capture,Not Promotion
Rh1#,Rook,h1,Black,Not Capture,Not Promotion
Rh1#,Rook,h1,White,Not Capture,Not Promotion
Qh8#,Queen,h8,White,Not Capture,Not Promotion
Qcf5#,Queen,f5,White,Not Capture,Not Promotion
Qg7#,Queen,g7,White,Not Capture,Not Promotion
Bf1#,Bishop,f1,Black,Not Capture,Not Promotion
Qg2#,Queen,g2,Black,Not Capture,Not Promotion
Qh1#,Queen,h1,Black,Not Capture,Not Promotion
Qb6#,Queen,b6,White,Not Capture,Not Promotion
Rf1#,Rook,f1,Black,Not Capture,Not Promotion
Qxc2#,Queen,c2,Black,Capture,Not Promotion
Qxg2#,Queen,g2,Black,Capture,Not Promotion
Qcc1#,Queen,c1,White,Not Capture,Not Promotion
Rh6#,Rook,h6,White,Not Capture,Not Promotion
Qh7#,Queen,h7,Black,Not Capture,Not Promotion
Qb7#,Queen,b7,White,Not Capture,Not Promotion
Ra3#,Rook,a3,Black,Not Capture,Not Promotion
Na7#,Knight,a7,White,Not Capture,Not Promotion
Bg5#,Bishop,g5,Black,Not Capture,Not Promotion
Nf2#,Knight,f2,Black,Not Capture,Not Promotion
Qh7#,Queen,h7,White,Not Capture,Not Promotion
Qf5#,Queen,f5,White,Not Capture,Not Promotion
Rc1#,Rook,c1,Black,Not Capture,Not Promotion
Qee1#,Queen,e1,Black,Not Capture,Not Promotion
Rh1#,Rook,h1,Black,Not Capture,Not Promotion
Re2#,Rook,e2,Black,Not Capture,Not Promotion
Qxf6#,Queen,f6,White,Capture,Not Promotion
Rh8#,Rook,h8,White,Not Capture,Not Promotion
Qg7#,Queen,g7,White,Not Capture,Not Promotion
Qb4#,Queen,b4,Black,Not Capture,Not Promotion
Qxf7#,Queen,f7,White,Capture,Not Promotion
Rf1#,Rook,f1,Black,Not Capture,Not Promotion
Qb7#,Queen,b7,Black,Not Capture,Not Promotion
Qh4#,Queen,h4,Black,Not Capture,Not Promotion
Qh3#,Queen,h3,Black,Not Capture,Not Promotion
Qf8#,Queen,f8,White,Not Capture,Not Promotion
Qf7#,Queen,f7,White,Not Capture,Not Promotion
Qe2#,Queen,e2,Black,Not Capture,Not Promotion
Qg4#,Queen,g4,Black,Not Capture,Not Promotion
Qef2#,Queen,f2,White,Not Capture,Not Promotion
Qxd1#,Queen,d1,Black,Capture,Not Promotion
Rh4#,Rook,h4,White,Not Capture,Not Promotion
Qd2#,Queen,d2,Black,Not Capture,Not Promotion
Qg3#,Queen,g3,Black,Not Capture,Not Promotion
Qg2#,Queen,g2,Black,Not Capture,Not Promotion
Qg8#,Queen,g8,White,Not Capture,Not Promotion
Qc7#,Queen,c7,White,Not Capture,Not Promotion
Rf8#,Rook,f8,White,Not Capture,Not Promotion
Rb1#,Rook,b1,Black,Not Capture,Not Promotion
Qf1#,Queen,f1,Black,Not Capture,Not Promotion
Qxg2#,Queen,g2,Black,Capture,Not Promotion
Re1#,Rook,e1,Black,Not Capture,Not Promotion
Qad1#,Queen,d1,Black,Not Capture,Not Promotion
Rxa8#,Rook,a8,Black,Capture,Not Promotion
Qe6#,Queen,e6,White,Not Capture,Not Promotion
Qf3#,Queen,f3,Black,Not Capture,Not Promotion
Rxd5#,Rook,d5,White,Capture,Not Promotion
Nc3#,Knight,c3,Black,Not Capture,Not Promotion
Qg7#,Queen,g7,White,Not Capture,Not Promotion
a8=Q#,Pawn,a8,White,Not Capture,Promotion
Rf8#,Rook,f8,White,Not Capture,Not Promotion
Qe2#,Queen,e2,Black,Not Capture,Not Promotion
e1=Q#,Pawn,e1,Black,Not Capture,Promotion
Qg1#,Queen,g1,Black,Not Capture,Not Promotion
Qxc2#,Queen,c2,Black,Capture,Not Promotion
Rh7#,Rook,h7,White,Not Capture,Not Promotion
R7f4#,Rook,f4,Black,Not Capture,Not Promotion
Qh8#,Queen,h8,White,Not Capture,Not Promotion
Qg3#,Queen,g3,Black,Not Capture,Not Promotion
Qxg3#,Queen,g3,Black,Capture,Not Promotion
Rxh2#,Rook,h2,Black,Capture,Not Promotion
Rc2#,Rook,c2,Black,Not Capture,Not Promotion
Qgg1#,Queen,g1,White,Not Capture,Not Promotion
Qg2#,Queen,g2,White,Not Capture,Not Promotion
Ra3#,Rook,a3,White,Not Capture,Not Promotion
Qb2#,Queen,b2,White,Not Capture,Not Promotion
Rd7#,Rook,d7,White,Not Capture,Not Promotion
Rf8#,Rook,f8,White,Not Capture,Not Promotion
Qa3#,Queen,a3,Black,Not Capture,Not Promotion
Rxd1#,Rook,d1,Black,Capture,Not Promotion
