654,Nxf7#,Knight,f7,White,Capture,Not Promotion
655,Qexe7#,Queen,e7,White,Capture,Not Promotion
661,Re8#,Rook,e8,White,Not Capture,Not Promotion
669,c1=Q#,Pawn,c1,Black,Not Capture,Promotion
670,Nxg5#,Knight,g5,White,Capture,Not Promotion
674,Qf2#,Queen,f2,Black,Not Capture,Not Promotion
681,Re7#,Rook,e7,White,Not Capture,Not Promotion
691,Rg2#,Rook,g2,Black,Not Capture,Not Promotion
704,Bxg4#,Bishop,g4,Black,Capture,Not Promotion
721,Qg7#,Queen,g7,White,Not Capture,Not Promotion
722,Qxh6#,Queen,h6,White,Capture,Not Promotion
733,Bg3#,Bishop,g3,Black,Not Capture,Not Promotion
734,Qg1#,Queen,g1,Black,Not Capture,Not Promotion
745,Rb8#,Rook,b8,White,Not Capture,Not Promotion
749,Qg5#,Queen,g5,White,Not Capture,Not Promotion
751,Qh1#,Queen,h1,Black,Not Capture,Not Promotion
757,Qh4#,Queen,h4,Black,Not Capture,Not Promotion
759,Qe6#,Queen,e6,Black,Not Capture,Not Promotion
767,Ra1#,Rook,a1,White,Not Capture,Not Promotion
773,Qf2#,Queen,f2,Black,Not Capture,Not Promotion
780,Qfh2#,Queen,h2,Black,Not Capture,Not Promotion
781,Qb3#,Queen,b3,Black,Not Capture,Not Promotion
782,Qh6#,Queen,h6,Black,Not Capture,Not Promotion
795,Qg7#,Queen,g7,Black,Not Capture,Not Promotion
796,Rd1#,Rook,d1,Black,Not Capture,Not Promotion
803,Rxa7#,Rook,a7,White,Capture,Not Promotion
821,Qdh4#,Queen,h4,White,Not Capture,Not Promotion
823,Ng3#,Knight,g3,Black,Not Capture,Not Promotion
824,Qxh7#,Queen,h7,White,Capture,Not Promotion
831,c1=Q#,Pawn,c1,Black,Not Capture,Promotion
838,Qc2#,Queen,c2,Black,Not Capture,Not Promotion
843,Qgf6#,Queen,f6,White,Not Capture,Not Promotion
845,Bb3#,Bishop,b3,Black,Not Capture,Not Promotion
850,Qb2#,Queen,b2,Black,Not Capture,Not Promotion
853,Q4g6#,Queen,g6,White,Not Capture,Not Promotion
857,Qe5#,Queen,e5,Black,Not Capture,Not Promotion
866,Qb5#,Queen,b5,White,Not Capture,Not Promotion
883,Qa2#,Queen,a2,Black,Not Capture,Not Promotion
891,Rc5#,Rook,c5,White,Not Capture,Not Promotion
905,Rxh6#,Rook,h6,White,Capture,Not Promotion
915,Qe8#,Queen,e8,White,Not Capture,Not Promotion
918,Qa2#,Queen,a2,White,Not Capture,Not Promotion
925,Qb2#,Queen,b2,Black,Not Capture,Not Promotion
927,Rh3#,Rook,h3,White,Not Capture,Not Promotion
929,Rc7#,Rook,c7,White,Not Capture,Not Promotion
945,Nc7#,Knight,c7,White,Not Capture,Not Promotion
947,Qg4#,Queen,g4,Black,Not Capture,Not Promotion
968,Rb4#,Rook,b4,Black,Not Capture,Not Promotion
986,Qg7#,Queen,g7,White,Not Capture,Not Promotion
989,Rxd6#,Rook,d6,White,Capture,Not Promotion
993,Qh1#,Queen,h1,Black,Not Capture,Not Promotion
999,Ra6#,Rook,a6,White,Not Capture,Not Promotion
1006,Rh1#,Rook,h1,Black,Not Capture,Not Promotion
1007,Qxa3#,Queen,a3,Black,Capture,Not Promotion
1020,Qd8#,Queen,d8,Black,Not Capture,Not Promotion
1033,Rf5#,Rook,f5,White,Not Capture,Not Promotion
1036,c8=Q#,Pawn,c8,White,Not Capture,Promotion
1042,Qh2#,Queen,h2,White,Not Capture,Not Promotion
1043,g5#,Pawn,g5,White,Not Capture,Not Promotion
1048,Rh1#,Rook,h1,Black,Not Capture,Not Promotion
1049,Rh1#,Rook,h1,White,Not Capture,Not Promotion
1056,Qh8#,Queen,h8,White,Not Capture,Not Promotion
1065,Qcf5#,Queen,f5,White,Not Capture,Not Promotion
1066,Qg7#,Queen,g7,White,Not Capture,Not Promotion
1079,Bf1#,Bishop,f1,Black,Not Capture,Not Promotion
1094,Qg2#,Queen,g2,Black,Not Capture,Not Promotion
1100,Qh1#,Queen,h1,Black,Not Capture,Not Promotion
1104,Qb6#,Queen,b6,White,Not Capture,Not Promotion
1112,Rf1#,Rook,f1,Black,Not Capture,Not Promotion
1113,Qxc2#,Queen,c2,Black,Capture,Not Promotion
1116,Qxg2#,Queen,g2,Black,Capture,Not Promotion
1117,Qcc1#,Queen,c1,White,Not Capture,Not Promotion
1128,Rh6#,Rook,h6,White,Not Capture,Not Promotion
1137,Qh7#,Queen,h7,Black,Not Capture,Not Promotion
1138,Qb7#,Queen,b7,White,Not Capture,Not Promotion
1139,Ra3#,Rook,a3,Black,Not Capture,Not Promotion
1143,Na7#,Knight,a7,White,Not Capture,Not Promotion
1145,Bg5#,Bishop,g5,Black,Not Capture,Not Promotion
1176,Nf2#,Knight,f2,Black,Not Capture,Not Promotion
1180,Qh7#,Queen,h7,White,Not Capture,Not Promotion
1182,Qf5#,Queen,f5,White,Not Capture,Not Promotion
1197,Rc1#,Rook,c1,Black,Not Capture,Not Promotion
1199,Qee1#,Queen,e1,Black,Not Capture,Not Promotion
1201,Rh1#,Rook,h1,Black,Not Capture,Not Promotion
1202,Re2#,Rook,e2,Black,Not Capture,Not Promotion
1211,Qxf6#,Queen,f6,White,Capture,Not Promotion
1218,Rh8#,Rook,h8,White,Not Capture,Not Promotion
1222,Qg7#,Queen,g7,White,Not Capture,Not Promotion
1225,Qb4#,Queen,b4,Black,Not Capture,Not Promotion
1236,Qxf7#,Queen,f7,White,Capture,Not Promotion
1237,Rf1#,Rook,f1,Black,Not Capture,Not Promotion
1240,Qb7#,Queen,b7,Black,Not Capture,Not Promotion
1242,Qh4#,Queen,h4,Black,Not Capture,Not Promotion
1244,Qh3#,Queen,h3,Black,Not Capture,Not Promotion
1245,Qf8#,Queen,f8,White,Not Capture,Not Promotion
1248,Qf7#,Queen,f7,White,Not Capture,Not Promotion
1252,Qe2#,Queen,e2,Black,Not Capture,Not Promotion
1259,Qg4#,Queen,g4,Black,Not Capture,Not Promotion
1261,Qef2#,Queen,f2,White,Not Capture,Not Promotion
1281,Qxd1#,Queen,d1,Black,Capture,Not Promotion
1284,Rh4#,Rook,h4,White,Not Capture,Not Promotion
1288,Qd2#,Queen,d2,Black,Not Capture,Not Promotion
1289,Qg3#,Queen,g3,Black,Not Capture,Not Promotion
1294,Qg2#,Queen,g2,Black,Not Capture,Not Promotion
1295,Qg8#,Queen,g8,White,Not Capture,Not Promotion
1299,Qc7#,Queen,c7,White,Not Capture,Not Promotion
1301,Rf8#,Rook,f8,White,Not Capture,Not Promotion
1303,Rb1#,Rook,b1,Black,Not Capture,Not Promotion
1307,Qf1#,Queen,f1,Black,Not Capture,Not Promotion
1321,Qxg2#,Queen,g2,Black,Capture,Not Promotion
1322,Re1#,Rook,e1,Black,Not Capture,Not Promotion
1333,Qad1#,Queen,d1,Black,Not Capture,Not Promotion
1334,Rxa8#,Rook,a8,Black,Capture,Not Promotion
