0,Qb6#,Queen,b6,Black,Not Capture,Not Promotion,2476,2635
1,Qa1#,Queen,a1,Black,Not Capture,Not Promotion,2358,2793
9,Qg2#,Queen,g2,Black,Not Capture,Not Promotion,2427,2532
17,Qe7#,Queen,e7,Black,Not Capture,Not Promotion,2532,2654
23,Qg2#,Queen,g2,Black,Not Capture,Not Promotion,2444,2509
31,Qxb2#,Queen,b2,Black,Capture,Not Promotion,2543,2583
32,Ra5#,Rook,a5,Black,Not Capture,Not Promotion,2535,2674
35,Qb1#,Queen,b1,White,Not Capture,Not Promotion,2424,2593
37,Qg5#,Queen,g5,White,Not Capture,Not Promotion,2373,2825
40,Qb7#,Queen,b7,White,Not Capture,Not Promotion,2487,2662
54,Qf8#,Queen,f8,White,Not Capture,Not Promotion,2539,2540
63,Qxg2#,Queen,g2,Black,Capture,Not Promotion,2389,2570
64,Rf8#,Rook,f8,White,Not Capture,Not Promotion,2583,2612
76,Qe7#,Queen,e7,White,Not Capture,Not Promotion,2390,2853
82,Qxb1#,Queen,b1,Black,Capture,Not Promotion,2388,2825
85,Re8#,Rook,e8,White,Not Capture,Not Promotion,2544,2548
86,Rf7#,Rook,f7,White,Not Capture,Not Promotion,2348,2529
95,Qa5#,Queen,a5,Black,Not Capture,Not Promotion,2497,2543
105,Qd2#,Queen,d2,Black,Not Capture,Not Promotion,2535,2591
106,Qxg7#,Queen,g7,White,Capture,Not Promotion,2616,2744
112,Qg7#,Queen,g7,White,Not Capture,Not Promotion,2659,2709
113,Nxg6#,Knight,g6,Black,Capture,Not Promotion,2408,2608
132,Qf7#,Queen,f7,White,Not Capture,Not Promotion,2338,2505
141,Qxg2#,Queen,g2,Black,Capture,Not Promotion,2533,2542
144,Nxg6#,Knight,g6,White,Capture,Not Promotion,2467,2533
146,Qg7#,Queen,g7,Black,Not Capture,Not Promotion,2439,2596
183,Qd2#,Queen,d2,Black,Not Capture,Not Promotion,2351,2528
185,Qc2#,Queen,c2,Black,Not Capture,Not Promotion,2534,2539
189,Qg7#,Queen,g7,White,Not Capture,Not Promotion,2454,2609
218,Re1#,Rook,e1,Black,Not Capture,Not Promotion,2666,2688
219,Ne2#,Knight,e2,Black,Not Capture,Not Promotion,2456,2513
221,Qa4#,Queen,a4,Black,Not Capture,Not Promotion,2484,2826
226,g5#,Pawn,g5,Black,Not Capture,Not Promotion,2492,2551
238,Qxh6#,Queen,h6,White,Capture,Not Promotion,2526,2567
250,Qa1#,Queen,a1,Black,Not Capture,Not Promotion,2725,2730
266,Qe1#,Queen,e1,Black,Not Capture,Not Promotion,2498,2630
271,Qxb5#,Queen,b5,White,Capture,Not Promotion,2388,2543
282,Qe7#,Queen,e7,White,Not Capture,Not Promotion,2528,2814
286,Qd4#,Queen,d4,Black,Not Capture,Not Promotion,2568,2703
287,Rg6#,Rook,g6,White,Not Capture,Not Promotion,2359,2518
298,Qg4#,Queen,g4,Black,Not Capture,Not Promotion,2747,2953
305,Qf4#,Queen,f4,Black,Not Capture,Not Promotion,2544,2640
307,Qf7#,Queen,f7,White,Not Capture,Not Promotion,2711,2906
309,Rh8#,Rook,h8,White,Not Capture,Not Promotion,2553,2573
311,Ra1#,Rook,a1,Black,Not Capture,Not Promotion,2448,2620
321,Rf8#,Rook,f8,Black,Not Capture,Not Promotion,2624,2842
332,Qa7#,Queen,a7,White,Not Capture,Not Promotion,2484,2533
339,Qc2#,Queen,c2,White,Not Capture,Not Promotion,2440,2517
342,Qh8#,Queen,h8,White,Not Capture,Not Promotion,2476,2624
356,Qh1#,Queen,h1,Black,Not Capture,Not Promotion,2908,2940
362,Re6#,Rook,e6,White,Not Capture,Not Promotion,2489,2510
372,Qh6#,Queen,h6,White,Not Capture,Not Promotion,2437,2536
376,Qb5#,Queen,b5,White,Not Capture,Not Promotion,2345,2805
379,Nxa4#,Knight,a4,Black,Capture,Not Promotion,2522,2586
380,Nh6#,Knight,h6,White,Not Capture,Not Promotion,2556,2558
389,Qb7#,Queen,b7,White,Not Capture,Not Promotion,2480,2502
400,Qxf3#,Queen,f3,Black,Capture,Not Promotion,2422,2517
404,Qe4#,Queen,e4,White,Not Capture,Not Promotion,2575,2718
405,Qxf8#,Queen,f8,White,Capture,Not Promotion,2388,2816
418,Qg2#,Queen,g2,Black,Not Capture,Not Promotion,2554,2580
424,Rxf7#,Rook,f7,White,Capture,Not Promotion,2499,2539
439,Rf8#,Rook,f8,White,Not Capture,Not Promotion,2515,2565
443,Re1#,Rook,e1,Black,Not Capture,Not Promotion,2397,2524
452,Qxf2#,Queen,f2,Black,Capture,Not Promotion,2474,2510
462,Qg5#,Queen,g5,White,Not Capture,Not Promotion,2648,2849
464,Qa6#,Queen,a6,White,Not Capture,Not Promotion,2586,2615
470,Qxg2#,Queen,g2,Black,Capture,Not Promotion,2522,2588
473,Qf1#,Queen,f1,Black,Not Capture,Not Promotion,2483,2606
487,Ra1#,Rook,a1,Black,Not Capture,Not Promotion,2547,2730
490,Qf7#,Queen,f7,White,Not Capture,Not Promotion,2529,2609
491,Qh4#,Queen,h4,White,Not Capture,Not Promotion,2443,2516
492,Qe2#,Queen,e2,Black,Not Capture,Not Promotion,2527,2571
493,Qe7#,Queen,e7,White,Not Capture,Not Promotion,2593,2827
516,Qxg7#,Queen,g7,White,Capture,Not Promotion,2495,2529
531,a8=Q#,Pawn,a8,White,Not Capture,Promotion,2602,2655
552,Qg5#,Queen,g5,Black,Not Capture,Not Promotion,2384,2813
553,Ng3#,Knight,g3,Black,Not Capture,Not Promotion,2384,2532
554,f8=Q#,Pawn,f8,White,Not Capture,Promotion,2536,2686
573,Rxf8#,Rook,f8,White,Capture,Not Promotion,2425,2539
580,Re1#,Rook,e1,Black,Not Capture,Not Promotion,2376,2530
583,Qh5#,Queen,h5,White,Not Capture,Not Promotion,2544,2578
589,Re7#,Rook,e7,White,Not Capture,Not Promotion,2537,2566
592,Bf3#,Bishop,f3,Black,Not Capture,Not Promotion,2585,2843
595,Qxg7#,Queen,g7,White,Capture,Not Promotion,2544,2689
596,Rfd2#,Rook,d2,Black,Not Capture,Not Promotion,2550,2572
602,Rg1#,Rook,g1,Black,Not Capture,Not Promotion,2557,2572
605,Qc6#,Queen,c6,Black,Not Capture,Not Promotion,2490,2598
618,Qa1#,Queen,a1,White,Not Capture,Not Promotion,2385,2806
623,Rxg6#,Rook,g6,White,Capture,Not Promotion,2409,2569
632,f5#,Pawn,f5,Black,Not Capture,Not Promotion,2487,2553
641,Qg2#,Queen,g2,Black,Not Capture,Not Promotion,2333,2781
645,Qh2#,Queen,h2,White,Not Capture,Not Promotion,2428,2610
654,Nxf7#,Knight,f7,White,Capture,Not Promotion,2503,2503
655,Qexe7#,Queen,e7,White,Capture,Not Promotion,2389,2829
661,Re8#,Rook,e8,White,Not Capture,Not Promotion,2403,2507
669,c1=Q#,Pawn,c1,Black,Not Capture,Promotion,2600,2687
670,Nxg5#,Knight,g5,White,Capture,Not Promotion,2566,2673
674,Qf2#,Queen,f2,Black,Not Capture,Not Promotion,2639,2663
681,Re7#,Rook,e7,White,Not Capture,Not Promotion,2326,2744
691,Rg2#,Rook,g2,Black,Not Capture,Not Promotion,2537,2664
704,Bxg4#,Bishop,g4,Black,Capture,Not Promotion,2433,2540
721,Qg7#,Queen,g7,White,Not Capture,Not Promotion,2520,2583
722,Qxh6#,Queen,h6,White,Capture,Not Promotion,2398,2575
733,Bg3#,Bishop,g3,Black,Not Capture,Not Promotion,2432,2619
734,Qg1#,Queen,g1,Black,Not Capture,Not Promotion,2515,2588
745,Rb8#,Rook,b8,White,Not Capture,Not Promotion,2344,2806
749,Qg5#,Queen,g5,White,Not Capture,Not Promotion,2530,2668
751,Qh1#,Queen,h1,Black,Not Capture,Not Promotion,2596,2752
757,Qh4#,Queen,h4,Black,Not Capture,Not Promotion,2572,2694
759,Qe6#,Queen,e6,Black,Not Capture,Not Promotion,2486,2853
767,Ra1#,Rook,a1,White,Not Capture,Not Promotion,2365,2539
773,Qf2#,Queen,f2,Black,Not Capture,Not Promotion,2590,2683
780,Qfh2#,Queen,h2,Black,Not Capture,Not Promotion,2515,2585
781,Qb3#,Queen,b3,Black,Not Capture,Not Promotion,2390,2827
782,Qh6#,Queen,h6,Black,Not Capture,Not Promotion,2593,2651
795,Qg7#,Queen,g7,Black,Not Capture,Not Promotion,2688,2702
796,Rd1#,Rook,d1,Black,Not Capture,Not Promotion,2413,2539
803,Rxa7#,Rook,a7,White,Capture,Not Promotion,2579,2645
821,Qdh4#,Queen,h4,White,Not Capture,Not Promotion,2343,2807
823,Ng3#,Knight,g3,Black,Not Capture,Not Promotion,2655,2708
824,Qxh7#,Queen,h7,White,Capture,Not Promotion,2683,2709
831,c1=Q#,Pawn,c1,Black,Not Capture,Promotion,2419,2545
838,Qc2#,Queen,c2,Black,Not Capture,Not Promotion,2475,2537
843,Qgf6#,Queen,f6,White,Not Capture,Not Promotion,2390,2585
845,Bb3#,Bishop,b3,Black,Not Capture,Not Promotion,2647,2678
850,Qb2#,Queen,b2,Black,Not Capture,Not Promotion,2407,2515
853,Q4g6#,Queen,g6,White,Not Capture,Not Promotion,2322,2831
857,Qe5#,Queen,e5,Black,Not Capture,Not Promotion,2515,2705
866,Qb5#,Queen,b5,White,Not Capture,Not Promotion,2537,2576
883,Qa2#,Queen,a2,Black,Not Capture,Not Promotion,2384,2808
891,Rc5#,Rook,c5,White,Not Capture,Not Promotion,2449,2571
905,Rxh6#,Rook,h6,White,Capture,Not Promotion,2540,2563
915,Qe8#,Queen,e8,White,Not Capture,Not Promotion,2458,2719
918,Qa2#,Queen,a2,White,Not Capture,Not Promotion,2477,2638
925,Qb2#,Queen,b2,Black,Not Capture,Not Promotion,2417,2585
927,Rh3#,Rook,h3,White,Not Capture,Not Promotion,2809,2813
929,Rc7#,Rook,c7,White,Not Capture,Not Promotion,2464,2534
945,Nc7#,Knight,c7,White,Not Capture,Not Promotion,2585,2815
947,Qg4#,Queen,g4,Black,Not Capture,Not Promotion,2511,2511
968,Rb4#,Rook,b4,Black,Not Capture,Not Promotion,2547,2624
986,Qg7#,Queen,g7,White,Not Capture,Not Promotion,2856,2858
989,Rxd6#,Rook,d6,White,Capture,Not Promotion,2602,2828
993,Qh1#,Queen,h1,Black,Not Capture,Not Promotion,2334,2817
999,Ra6#,Rook,a6,White,Not Capture,Not Promotion,2609,2619
1006,Rh1#,Rook,h1,Black,Not Capture,Not Promotion,2385,2654
1007,Qxa3#,Queen,a3,Black,Capture,Not Promotion,2318,2540
1020,Qd8#,Queen,d8,Black,Not Capture,Not Promotion,2371,2517
1033,Rf5#,Rook,f5,White,Not Capture,Not Promotion,2435,2712
1036,c8=Q#,Pawn,c8,White,Not Capture,Promotion,2482,2506
1042,Qh2#,Queen,h2,White,Not Capture,Not Promotion,2414,2659
1043,g5#,Pawn,g5,White,Not Capture,Not Promotion,2684,2937
1048,Rh1#,Rook,h1,Black,Not Capture,Not Promotion,2322,2832
1049,Rh1#,Rook,h1,White,Not Capture,Not Promotion,2446,2558
1056,Qh8#,Queen,h8,White,Not Capture,Not Promotion,2451,2617
1065,Qcf5#,Queen,f5,White,Not Capture,Not Promotion,2389,2831
1066,Qg7#,Queen,g7,White,Not Capture,Not Promotion,2422,2508
1079,Bf1#,Bishop,f1,Black,Not Capture,Not Promotion,2471,2508
1094,Qg2#,Queen,g2,Black,Not Capture,Not Promotion,2367,2511
1100,Qh1#,Queen,h1,Black,Not Capture,Not Promotion,2546,2601
1104,Qb6#,Queen,b6,White,Not Capture,Not Promotion,2464,2516
1112,Rf1#,Rook,f1,Black,Not Capture,Not Promotion,2383,2817
1113,Qxc2#,Queen,c2,Black,Capture,Not Promotion,2408,2512
1116,Qxg2#,Queen,g2,Black,Capture,Not Promotion,2459,2521
1117,Qcc1#,Queen,c1,White,Not Capture,Not Promotion,2500,2534
1128,Rh6#,Rook,h6,White,Not Capture,Not Promotion,2627,2643
1137,Qh7#,Queen,h7,Black,Not Capture,Not Promotion,2507,2656
1138,Qb7#,Queen,b7,White,Not Capture,Not Promotion,2407,2500
1139,Ra3#,Rook,a3,Black,Not Capture,Not Promotion,2384,2831
